Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
left_hand_link,-0.00332669287155695,-0.0101781679017775,-0.0570610488181998,0,0,0,0.0745144256109598,9.85212755004104E-05,-4.69712351500123E-07,1.18140461561619E-05,0.000132755294578785,3.24923246553399E-06,5.03847291170233E-05,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_link.STL,,MH2.25-V3.0-01L-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_hand_ee_link,-9.14235300816632E-20,6.87814821208628E-18,0,0,0,0,5.65450977765345E-06,6.36132349986012E-12,-4.57265482914352E-28,-3.13056134907957E-29,1.49608904533747E-11,-8.05050094695597E-28,1.49608904533747E-11,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_ee_link.STL,0.988235294117647,0.737254901960784,0.517647058823529,1,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_ee_link.STL,,MH2.25-V3.0-13-6,h1,a0,left_hand_ee_joint,fixed,0,0,-0.065,0,0,0,left_hand_link,0,0,0,,,,,,,,,,,,
left_hand_back_link,-0.00206614328070064,0.0140092020913419,0.000644119291874204,0,0,0,0.0201945976074662,1.38467101618052E-05,1.58909143985016E-08,-9.50384655460795E-08,2.85846568808932E-05,1.38353728895315E-08,1.62961909201971E-05,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_back_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_back_link.STL,,MH2.25-V3.0-02L-1,h1,a0,left_hand_back_joint,fixed,0,0,-0.065,0,0,0,left_hand_link,0,0,0,,,,,,,0,0,,,,
left_hand_thumb_bend_link,0.0144315029292586,0.00116653625408803,-6.50665966587562E-05,0,0,0,0.00366827727277572,2.00573048092294E-07,2.40116121734902E-09,1.00346961576278E-08,4.68782744137374E-07,3.24406197034341E-10,4.73871022863014E-07,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_thumb_bend_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_thumb_bend_link.STL,,MH2.25-V3.0-03L-1,lt1,b1,left_hand_thumb_bend_joint,revolute,0.0228,-0.0095,-0.0305,0,0,0,left_hand_link,0,0,-1,1.1,8.63,0,1.832,,,0,0,,,,
left_hand_thumb_rota_link1,0.028699400584835,0.000353013004294657,-0.0013521057380018,0,0,0,0.0307633150097754,3.73516759594398E-06,-1.97499807232057E-06,-2.9546769488504E-09,9.67382097174881E-06,3.2082341542674E-09,1.12574256898596E-05,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_thumb_rota_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_thumb_rota_link1.STL,,MH2.25-V3.0-04L-1,lt2,b2,left_hand_thumb_rota_joint1,revolute,0.028599,-0.0083177,0.00178,-0.2618,0,-0.0407,left_hand_thumb_bend_link,0,1,0,1.1,8.63,-0.698,1.745,,,0,0,,,,
left_hand_thumb_rotaback_link1,-0.0296284435379629,-0.00145635345487384,0.00757347054072984,0,0,0,0.00595587939829426,1.50079110020774E-06,1.64275979775327E-07,1.41666341095327E-07,1.45145789274392E-06,5.33077376056343E-08,2.18728619296101E-06,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_thumb_rotaback_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_thumb_rotaback_link1.STL,,MH2.25-V3.0-05L-1,lt3,b3,left_hand_thumb_rotaback_joint1,fixed,0.0553000000000004,0,0,0,0,0,left_hand_thumb_rota_link1,0,0,0,,,,,,,0,0,,,,
left_hand_thumb_rota_link2,0.0228414266462457,0.000460794125797265,-0.000578251645405752,0,0,0,0.0141140250026339,1.19048686121765E-06,-1.47604438768623E-07,-4.92429220422419E-09,2.88667327480806E-06,-5.11570756049253E-09,3.49934318802165E-06,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_thumb_rota_link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_thumb_rota_link2.STL,,MH2.25-V3.0-06L-1,lt3,b3,left_hand_thumb_rota_joint2,revolute,0.0553,0,0,0,0,0,left_hand_thumb_rota_link1,0,1,0,0.4,14.38,0,1.745,,,0,0,,,,
left_hand_thumb_rotaback_link2,-0.0256682291910944,0.000513274886833534,0.00926148645051527,0,0,0,0.00350048742141909,4.97671799767563E-07,-3.7117575382148E-08,-4.24113879014862E-08,7.00631150143218E-07,-4.70094177688996E-09,1.11889929093957E-06,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_thumb_rotaback_link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_thumb_rotaback_link2.STL,,MH2.25-V3.0-07L-1,lt4,b4,left_hand_thumb_rotaback_joint2,fixed,0.0499881470979494,0,0,0,0,0,left_hand_thumb_rota_link2,0,0,0,,,,,,,0,0,,,,
left_hand_thumb_rota_tip,-8.32667268468867E-17,1.04083408558608E-17,2.28983498828939E-16,0,0,0,5.65450977765345E-06,1.49608904533747E-11,-2.48884204180171E-26,4.56708093405856E-29,6.36132349986012E-12,-1.55500261637166E-26,1.49608904533747E-11,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_thumb_rota_tip.STL,0.988235294117647,0.737254901960784,0.517647058823529,1,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_thumb_rota_tip.STL,,MH2.25-V3.0-13-5,lt4,b4,left_hand_thumb_rota_joint3,fixed,0.0499881470979494,0,0,0,0,0,left_hand_thumb_rota_link2,0,0,0,,,,,,,0,0,,,,
left_hand_index_bend_link,-0.000388464456994867,0.000992075604557427,-0.00970333167554097,0,0,0,0.00726489803106171,7.72026386480712E-07,7.0014765466689E-10,1.94368255628889E-08,6.335955481558E-07,7.54028160570634E-09,3.69959598403726E-07,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_index_bend_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_index_bend_link.STL,,MH2.25-V3.0-08-1,lif1,c1,left_hand_index_bend_joint,revolute,0.0265,-0.0065,-0.0899,0,0,0,left_hand_link,0,-1,0,0.4,14.38,-0.174,0.174,,,0,0,,,,
left_hand_index_rota_link1,-3.58049083604185E-05,-0.00053041759210529,-0.0332784671157223,0,0,0,0.0143714276805089,4.3729354156505E-06,-1.14489065194206E-09,8.28615019170989E-08,4.26829701084996E-06,-2.45678905173282E-08,6.71137965532428E-07,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_index_rota_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_index_rota_link1.STL,,MH2.25-V3.0-09-1,lif2,c2,left_hand_index_joint1,revolute,0,0,-0.0178,0,0,0,left_hand_index_bend_link,-1,0,0,1.1,8.63,0,1.919,,,0,0,,,,
